Metric,Value
Task 1 Train Accuracy,0.7571
Task 1 Val Accuracy,0.7633
Task 2 Train Accuracy,0.7600
Task 2 Val Accuracy,0.7400
ROC-AUC (Task 1),0.8556
Total Parameters,"103,138"
Trainable Parameters,"103,138"
Training Epochs (Task 1),20
Training Epochs (Task 2),20
EWC Strength (λ),0.4
Learning Rate,0.001
Weight Decay,1e-5
Batch Size,32
Backward Transfer (BWT),0.0000
Forward Transfer (FWT),0.2633
Model Type,FT-Transformer
Attention Heads,8
Transformer Blocks,3
Embedding Dimension,64
Prompt Tokens,5
